issues_title,issues_created_at,issues_thread_id,issues_thread_creator,issues_thread_creator_affiliation,issues_comment_id,issues_comment_type,issues_comment_text,issues_comment_author,issues_comment_author_affiliation,issues_time_to_close,issues_time_to_first_response,issues_no_of_comments,issues_commits,issues_checks,issues_files_changed,issues_lines_changed
[Fix] geo_pos_conv class member variable not initialized,2019-01-22T06:11:53Z,401613699,YamatoAndo,tier4,,,,,missing,,,0,1,0,2,17
[DO NOT MERGE YET][Fix] Revert b21b663,2019-03-18T05:29:15Z,400066050,kfunaoka,tier4,473774908,answered,@kfunaoka What's up with this PR? Should it be closed?,gbiggs,missing,5201276,5200127,2,10,0,252,3483
[DO NOT MERGE YET][Fix] Revert b21b663,2019-03-18T05:43:41Z,400066050,kfunaoka,tier4,473777444,answered,We can safely close this. Superseeded by #1990 #1861 #1977 ,amc-nu,tier4,5201276,5200127,2,10,0,252,3483
[Release] 1.10.0 merged back to develop,2019-01-17T00:51:50Z,400064108,kfunaoka,tier4,,,,,missing,,,0,14,0,289,3696
Update get_PCD.cpp,2019-01-16T16:54:28Z,399902586,sgermanserrano,missing,,,,,missing,,,0,1,0,1,1
[Release] 1.10.0 merged back to develop,2019-01-16T13:45:23Z,399813902,kfunaoka,tier4,454783618,answered,"@kfunaoka don’t think it’s a good idea to merge back to develop.
@esteve and @sgermanserrano kindly removed all the dependencies in preparation for colcon. I had to add them back in order for catkin_make to compile.
Am I right @esteve @sgermanserrano ?",amc-nu,tier4,40223,215,20,8,0,339,3991
[Release] 1.10.0 merged back to develop,2019-01-16T13:49:31Z,399813902,kfunaoka,tier4,454784890,answered,@kfunaoka I agree with @amc-nu. I would assume that as no updates have been made to the release branch that would be merged directly to _master_ since new changes (related to v1.11) have been already merged to _develop_,sgermanserrano,missing,40223,215,20,8,0,339,3991
[Release] 1.10.0 merged back to develop,2019-01-16T13:57:00Z,399813902,kfunaoka,tier4,454787260,questioned,@amc-nu Do you mean b21b663 was not merged to develop? I think this pull request is better to be merged to develop so that the next release v1.10.1 or v1.11.0 can successfully be merged from develop to master since this pull request and the pull request of next release will conflict at CHANGELOGs and Package Version in the next release work. It seems fixing the conflicts at this point minimizes the work we should do. How do you think?,kfunaoka,tier4,40223,215,20,8,0,339,3991
[Release] 1.10.0 merged back to develop,2019-01-16T14:00:41Z,399813902,kfunaoka,tier4,454788474,answered,"Yes, those are only required by catkin_make
 It we will stop using it once autowarefoundation/autoware#1861 gets done. Then we will switch to colcon",amc-nu,tier4,40223,215,20,8,0,339,3991
[Release] 1.10.0 merged back to develop,2019-01-16T14:04:19Z,399813902,kfunaoka,tier4,454789668,answered,@kfunaoka @amc-nu  I'm not seeing those changes in the develop branch,sgermanserrano,missing,40223,215,20,8,0,339,3991
[Release] 1.10.0 merged back to develop,2019-01-16T14:04:30Z,399813902,kfunaoka,tier4,454789745,questioned,"@amc-nu @sgermanserrano I think fixing the conflicts at this point is easier than fixing the conflicts at the next release point.

- If we fix the conflicts at this point, it seems we can just select the fixes in develop branch.
- If we fix the conflicts at the next release point, it seems we have to resolve the conflicts in all CHANGELOGs and package.xmls.

Is the former easier than latter?",kfunaoka,tier4,40223,215,20,8,0,339,3991
[Release] 1.10.0 merged back to develop,2019-01-16T14:08:48Z,399813902,kfunaoka,tier4,454791427,questioned,These types of changes 563ac589817aeab2712904be96d7e280793bf938 and 2931d88900285669f08527629c1844ca39bec506 will generate conflicts.,kfunaoka,tier4,40223,215,20,8,0,339,3991
[Release] 1.10.0 merged back to develop,2019-01-16T14:10:40Z,399813902,kfunaoka,tier4,454792181,answered,I would be inclined to fix the conflicts now so that everything works fine when building with _catkin_make_ until autowarefoundation/autoware#1861 is completed and we can move to _colcon_ altogether,sgermanserrano,missing,40223,215,20,8,0,339,3991
[Release] 1.10.0 merged back to develop,2019-01-16T14:11:37Z,399813902,kfunaoka,tier4,454792582,answered,"@sgermanserrano those are not required anymore. autowarefoundation/autoware#1704 removed these. Moreover if you compile either with plain catkin or colcon there are no errors.
Catkin_make was the reason I added these back. Just for v1.10
",amc-nu,tier4,40223,215,20,8,0,339,3991
[Release] 1.10.0 merged back to develop,2019-01-16T14:14:25Z,399813902,kfunaoka,tier4,454793828,answered,"Furthermore, after removing the obsolete packages, Compiling current develop branch can be compiled catkin_make 

Can you try @kfunaoka ?
I’ve been using both catkin_make and colcon without any problem ",amc-nu,tier4,40223,215,20,8,0,339,3991
[Release] 1.10.0 merged back to develop,2019-01-16T14:18:22Z,399813902,kfunaoka,tier4,454795136,answered,"@amc-nu agreed both work fine, the only issue I had was when using the _catkin_make_release_ script, also _catkin_make_isolated_ builds without problems",sgermanserrano,missing,40223,215,20,8,0,339,3991
[Release] 1.10.0 merged back to develop,2019-01-16T14:19:00Z,399813902,kfunaoka,tier4,454795324,questioned,"Though I can not look into all the conflicts of this pull request now, do the conflicts come from the CMakeLists.txts that were deleted in develop? If so, I think we can easily resolve the conflicts of this pull request and can dramatically minimize the future work.

> Can you try @kfunaoka ?

Of course, I'll check whether catkin_make works correctly after resolving the conflicts. The work that resolves the conflicts will be done after release/1.10.0 is merged to master.",kfunaoka,tier4,40223,215,20,8,0,339,3991
[Release] 1.10.0 merged back to develop,2019-01-16T14:24:34Z,399813902,kfunaoka,tier4,454797186,answered,"btw, those conflicts are for obsolete packages that have been deleted in develop already: autowarefoundation/autoware#1844, autowarefoundation/autoware#1843, autowarefoundation/autoware#1845, autowarefoundation/autoware#1846, autowarefoundation/autoware#1874, autowarefoundation/autoware#1872, autowarefoundation/autoware#1875, autowarefoundation/autoware#1876, autowarefoundation/autoware#1871, autowarefoundation/autoware#1867",sgermanserrano,missing,40223,215,20,8,0,339,3991
[Release] 1.10.0 merged back to develop,2019-01-16T14:27:39Z,399813902,kfunaoka,tier4,454798277,answered,"Yes! I completely understand, but merging this will also affect many other CMakeLists  that @esteve cleaned up in  autowarefoundation/autoware#1704
https://github.com/CPFL/Autoware/pull/1704/files#diff-48481a59ce86120d53db9a430f1c48f6L8",amc-nu,tier4,40223,215,20,8,0,339,3991
[Release] 1.10.0 merged back to develop,2019-01-16T14:34:41Z,399813902,kfunaoka,tier4,454800693,questioned,"Thanks! How about doing the following sequence? Or is it better to request No.2 to @amc-nu or @esteve?

1. Merge autowarefoundation/autoware#1898 into master
1. Create a pull request that resolves the conflicts to release/1.10.0 and Request review to @amc-nu, @esteve, and @sgermanserrano 
1. Merge the pull request created at No. 2 into release/1.10.0
1. Merge this pull request into develop",kfunaoka,tier4,40223,215,20,8,0,339,3991
[Release] 1.10.0 merged back to develop,2019-01-16T14:39:46Z,399813902,kfunaoka,tier4,454802511,answered,"Let’s wait for @esteve 
I’m sure this is not needed, since it’s just a temporary reversal of autowarefoundation/autoware#1704 
Which caused catkin_make to fail, plus colcon was expecting everything to be in install space.
I insist @kfunaoka to have a look at autowarefoundation/autoware#1704 specifically the modified CMakeLists files",amc-nu,tier4,40223,215,20,8,0,339,3991
[Release] 1.10.0 merged back to develop,2019-01-16T16:40:49Z,399813902,kfunaoka,tier4,454849192,answered,"I agree with @amc-nu and @sgermanserrano , moreover the conflicts come from the deleted packages. However, I'd backport the following commits:

https://github.com/CPFL/Autoware/commit/7bc443786921a471b9c45bb7f97e9266d8b44c05

https://github.com/CPFL/Autoware/commit/b2a6eeba7c78f34c66942987cdf8780d287694ec

https://github.com/CPFL/Autoware/commit/1a54ae2c4e70c6f498cfb4a27af6edb9b15ca52f",esteve,tier4,40223,215,20,8,0,339,3991
[Release] 1.10.0 merged back to develop,2019-01-16T16:45:14Z,399813902,kfunaoka,tier4,454850892,questioned,"@esteve Do you mean latter is better?

- We resolve the conflicts at this point
- We resolve the conflicts at the next release point (v1.10.1 or v1.11.0)",kfunaoka,tier4,40223,215,20,8,0,339,3991
[Release] 1.10.0 merged back to develop,2019-01-16T16:50:16Z,399813902,kfunaoka,tier4,454852787,questioned,I have to add commits generated by catkin_generate_changelog and catkin_prepare_release into release/1.10.0 that will be necessary for release work.,kfunaoka,tier4,40223,215,20,8,0,339,3991
[Release] 1.10.0 merged back to develop,2019-01-17T00:52:11Z,399813902,kfunaoka,tier4,455000721,questioned,Replaced by autowarefoundation/autoware#1901,kfunaoka,tier4,40223,215,20,8,0,339,3991
[Release] 1.10.0,2019-01-17T02:42:11Z,399812940,kfunaoka,tier4,455021628,questioned,"Wow. Should the package.xmls outside Autoware/ros/src/sensing/drivers/ be changed?

I've also faced the following error at launching YOLO3 via autoware/autoware:1.10.0-kinetic-rc1.

```
CUDA Error: CUDA driver version is insufficient for CUDA runtime version
```

Should I update something?

* In host PC:
```
$ cat /proc/driver/nvidia/version
NVRM version: NVIDIA UNIX x86_64 Kernel Module  396.54  Tue Aug 14 19:02:34 PDT 2018
GCC version:  gcc version 5.4.0 20160609 (Ubuntu 5.4.0-6ubuntu1~16.04.10)

$ /usr/local/cuda-9.2/bin/nvcc -V
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2018 NVIDIA Corporation
Built on Tue_Jun_12_23:07:04_CDT_2018
Cuda compilation tools, release 9.2, V9.2.148
```

* In autoware/autoware:1.10.0-kinetic-rc1:
```
$ nvcc -V
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2017 NVIDIA Corporation
Built on Fri_Sep__1_21:08:03_CDT_2017
Cuda compilation tools, release 9.0, V9.0.176
```",kfunaoka,tier4,562467,46974,6,78,0,940,41607
[Release] 1.10.0,2019-01-17T02:51:40Z,399812940,kfunaoka,tier4,455023349,questioned,"@esteve @amc-nu @sgermanserrano How about merging the following sequence:

1. autowarefoundation/autoware#1898 to master (this pull request)
1. autowarefoundation/autoware#1901 to develop
1. autowarefoundation/autoware#1902 to develop once all install targets are confirmed to work fine

Or any other suggestion?

I think autowarefoundation/autoware#1901 is mandatory so that the CHANGELOGs are generated correctly at next release v1.10.1 or v1.11.0. If autowarefoundation/autoware#1901 is not merged, catkin_generate_changelog can not distinguish between which commits are v1.10.0 and which commits are next release.",kfunaoka,tier4,562467,46974,6,78,0,940,41607
[Release] 1.10.0,2019-01-17T03:31:27Z,399812940,kfunaoka,tier4,455029842,answered,"From @alexandrx 
> Regarding @amc-nu comment before, you can easily check:
```for I in `find <AUTOWARE-PATH> -type f -name ""package.xml""`; do grep -i ""<license"" -H $I; done | grep BSD | wc -l```
there are 127 different packages stating `<license>BSD</license>`.
Change the last part `grep BSD` by `grep -i apache` and there are only 5 packages stating Apache, and from those 5 only one package says ""Apache 2"". There are also some ""TODO"" licenses, 1 ""gpl"" and 1 ""nonstandard"".
As you know, you can fix all the package.xml files with the following trivial script:
```for I in `find <AUTOWARE-PATH> -type f -name ""package.xml""`; do sed -i 's/<license>BSD/<license>Apache 2.0/g' $I; done```
(just in case)",amc-nu,tier4,562467,46974,6,78,0,940,41607
[Release] 1.10.0,2019-01-17T03:46:14Z,399812940,kfunaoka,tier4,455032160,questioned,"Before doing that, we need to distinguish which packages can be Apache2 :)

My suggestion at the issue is that drivers can not be changed to Apache2 in my understanding.

Are there any other comments?",kfunaoka,tier4,562467,46974,6,78,0,940,41607
[Release] 1.10.0,2019-01-17T10:37:56Z,399812940,kfunaoka,tier4,455124761,questioned,"Thanks, @amc-nu !
He gave me the list that was all implemented as Autoware project.

- baumer
- pointgrey
- vectacam
- javad_navsat
- nmea_navsat
- memsic
- hexacam
- ouster",kfunaoka,tier4,562467,46974,6,78,0,940,41607
[Release] 1.10.0,2019-01-18T05:38:49Z,399812940,kfunaoka,tier4,455433645,answered,"@kfunaoka Another item for the TODO list:
- [x] Change license in README and LICENSE file",amc-nu,tier4,562467,46974,6,78,0,940,41607
Restablished/Moved calibration_publisher node,2019-01-16T12:14:58Z,399781936,amc-nu,tier4,,,,,missing,,,0,2,0,6,369
Fix/compare map filter squared distance,2019-01-16T11:36:32Z,399768394,YamatoAndo,tier4,,,,,missing,,,0,5,0,5,24
Deleted redundant folder,2019-01-16T10:12:26Z,399736117,sgermanserrano,missing,,,,,missing,,,0,1,0,19,0
Feature/lgsvl sim configurator,2019-01-16T12:23:35Z,399735597,hakuturu583,tier4,454760484,answered,"@yn-mrse @hakuturu583 please make sure to add the dependencies to package.xml and the CmakeLists.txt files. No pip and apt. Rosdep must solve the dependencies.
CI checks the correct setup of the dependencies.",amc-nu,tier4,82105,7948,2,9,0,15,456
Feature/lgsvl sim configurator,2019-01-16T12:25:17Z,399735597,hakuturu583,tier4,454760925,answered,According to CI. CMakeLists install command is wrong.,amc-nu,tier4,82105,7948,2,9,0,15,456
Remove obsolete viewers package,2019-01-15T06:52:30Z,399210211,amc-nu,tier4,454285613,questioned,requires autowarefoundation/autoware_ai#498 ,amc-nu,tier4,258112,45,3,1,0,15,2546
Remove obsolete viewers package,2019-01-15T06:58:13Z,399210211,amc-nu,tier4,454286793,answered,@amc-nu I have added this one to the list in autowarefoundation/autoware_ai#475 to keep track of all that is removed in one place,sgermanserrano,missing,258112,45,3,1,0,15,2546
Remove obsolete viewers package,2019-01-15T06:59:54Z,399210211,amc-nu,tier4,454287111,questioned,thanks!,amc-nu,tier4,258112,45,3,1,0,15,2546
Remove obsolete lazy_ndt_mapping,2019-01-14T09:32:52Z,398807213,sgermanserrano,missing,,,,,missing,,,0,2,0,4,525
Fix/remove obsolete lidar pf track,2019-01-14T09:29:38Z,398806187,sgermanserrano,missing,,,,,missing,,,0,2,0,7,334
Fix/remove obsolete range fusion,2019-01-14T10:36:38Z,398806159,sgermanserrano,missing,453961163,questioned,Removed also fusion lib range_fusion depends on it,sgermanserrano,missing,73221,4024,3,4,0,15,1458
Fix/remove obsolete range fusion,2019-03-07T16:32:24Z,398806159,sgermanserrano,missing,470596692,answered,"FYI the launch files located at `Autoware/docs/quick_start` still reference these deleted packages.
Do these launch files get reviewed at each release? or would it be helpful if I created a PR on the develop branch to update them?",icolwell,missing,73221,4024,3,4,0,15,1458
Fix/remove obsolete range fusion,2019-03-08T11:12:15Z,398806159,sgermanserrano,missing,470893588,questioned,"@icolwell thanks for the heads up, I don't think they have been updated. It would be indeed helpful if you PR the fix, nevertheless I would suggest holding it till the new repo structure is pushed during v1.12 as we are too close to the v1.11 release already",sgermanserrano,missing,73221,4024,3,4,0,15,1458
Remove obsolete tf_mapping,2019-01-14T09:29:32Z,398806141,sgermanserrano,missing,,,,,missing,,,0,1,0,3,201
Remove obsolete lidar_tracker/libs/fusion,2019-01-14T09:29:29Z,398806128,sgermanserrano,missing,,,,,missing,,,0,1,0,7,985
Update twist_filter.cpp,2019-01-12T03:52:11Z,398435650,snehagn,missing,453716938,answered,@YamatoAndo Is this the fix you suggested?,kfunaoka,tier4,42499,27680,2,1,0,1,2
Update twist_filter.cpp,2019-01-12T07:59:43Z,398435650,snehagn,missing,453728475,answered,"@snehagn Thank you very much for your contribution!

@yn-mrse Thank you for your review!",kfunaoka,tier4,42499,27680,2,1,0,1,2
[fix] Remove obsolete entries from UI,2019-01-18T07:32:37Z,398432506,sgermanserrano,missing,455453188,answered,@kfunaoka this is ready to be merged in develop. Can you please confirm?,amc-nu,tier4,881282,559883,1,17,0,4,242
Feature/nmea to mgrs,2019-01-11T12:34:23Z,398259666,mitsudome-r,tier4,453503416,answered,"@kfunaoka also please show him how to apply clang format.
Thanks",amc-nu,tier4,330571,2164,3,2,0,10,128
Feature/nmea to mgrs,2019-01-15T07:25:06Z,398259666,mitsudome-r,tier4,454291961,questioned,"Looks like autowarefoundation/autoware#1305 does the similar conversion from lat/lon to mgrs xyz and is done without external package (although it is for pcd).
I've asked daifuku07 if he can make the functions into library so that I can use it for geo_pos_conv. ",mitsudome-r,tier4,330571,2164,3,2,0,10,128
Feature/nmea to mgrs,2019-01-15T07:47:50Z,398259666,mitsudome-r,tier4,454296610,questioned,"For the time being, I will close this PR and create new one when the changes are made.
@amc-nu Thank you for your comments, and I will make sure that unit tests are added before the new PR.",mitsudome-r,tier4,330571,2164,3,2,0,10,128
Remove obsolete state_machine,2019-01-11T10:04:59Z,398217150,amc-nu,tier4,,,,,missing,,,0,1,0,11,761
Remove obsolete vision_klt_track,2019-01-11T09:38:06Z,398205958,sgermanserrano,missing,453452630,answered,Also requires autowarefoundation/autoware_ai#498,amc-nu,tier4,65632,55,1,1,0,9,1348
Remove obsolete vision_tracker/libs/kf,2019-01-11T09:37:08Z,398205941,sgermanserrano,missing,,,,,missing,,,0,1,0,6,1347
Remove obsolete vision_kf_track,2019-01-11T09:37:54Z,398205931,sgermanserrano,missing,453452566,answered,Also requires autowarefoundation/autoware_ai#498,amc-nu,tier4,65580,47,1,1,0,9,916
Remove obsolete vision_dummy_track,2019-01-11T09:36:37Z,398205486,sgermanserrano,missing,453452102,answered,Also requires autowarefoundation/autoware_ai#498,amc-nu,tier4,65616,36,1,1,0,6,356
Remove obsolete calibration_camera_lidar,2019-01-11T09:36:08Z,398200278,sgermanserrano,missing,453451962,answered,Also requires autowarefoundation/autoware_ai#498,amc-nu,tier4,66386,807,1,1,0,33,4868
Remove obsolete points2polygon,2019-01-11T09:22:11Z,398200073,sgermanserrano,missing,,,,,missing,,,0,1,0,5,472
Remove obsolete hexacam,2019-01-11T09:22:05Z,398200030,sgermanserrano,missing,,,,,missing,,,0,1,0,7,1180
Remove obsolete orb_localizer,2019-01-11T09:21:55Z,398199965,sgermanserrano,missing,,,,,missing,,,0,1,0,321,71264
Remove obsolete scan2image,2019-01-11T09:26:14Z,398199613,sgermanserrano,missing,453448375,answered,Also requires autowarefoundation/autoware_ai#498,amc-nu,tier4,66292,314,1,1,0,8,650
Release/1.10.0,2019-01-11T01:49:13Z,398095577,amc-nu,tier4,,,,,missing,,,0,3,0,1,46
[fix] Install commands for all the packages,2019-02-15T12:25:25Z,397690652,amc-nu,tier4,464030654,questioned,@sgermanserrano indeed. Only libraries that are used outside its own node are installing headers.,amc-nu,tier4,3379654,3131562,3,29,0,94,1546
[fix] Install commands for all the packages,2019-02-15T12:32:49Z,397690652,amc-nu,tier4,464033188,questioned,@sgermanserrano thank you so much for testing.! I’ll merge once I test the ouster submodule. Which is also missing install commands.,amc-nu,tier4,3379654,3131562,3,29,0,94,1546
[fix] Install commands for all the packages,2019-02-18T06:30:27Z,397690652,amc-nu,tier4,464602844,questioned,Fixed  [ouster](https://github.com/CPFL/ouster/commit/dcf73e33a42179e35ba0e30ef8d562bbcbe2c5fd) as well,amc-nu,tier4,3379654,3131562,3,29,0,94,1546
Fix link error at docker build (#1849),2019-01-09T23:30:29Z,397608422,amc-nu,tier4,,,,,missing,,,0,1,0,1,7
Remove obsolete fake_drivers,2019-01-09T16:03:07Z,397439008,sgermanserrano,missing,,,,,missing,,,0,1,0,5,226
Remove obsolete sample_data,2019-01-09T16:00:03Z,397437506,sgermanserrano,missing,,,,,missing,,,0,1,0,9,2007
Remove obsolete requirements_version_checker,2019-01-09T15:59:20Z,397437174,sgermanserrano,missing,,,,,missing,,,0,1,0,4,94
Use catkin_make_release to build Autoware,2019-01-09T12:22:37Z,397347520,esteve,tier4,,,,,missing,,,0,1,0,1,3
[Fix] Link error at docker build,2019-01-09T11:32:41Z,397329762,kfunaoka,tier4,452665392,questioned,Can build successfully. But `./run` does not shows Runtime Manager.,kfunaoka,tier4,9864,82,11,1,0,1,7
[Fix] Link error at docker build,2019-01-09T11:40:54Z,397329762,kfunaoka,tier4,452667511,answered,"That's because the Docker image builds Autoware with colcon, which puts the output in ./install instead of ./devel

I'm ok with reverting to catkin in the Docker image, until we can ensure that all packages have an install target. Thoughts @amc-nu @sgermanserrano ?",esteve,tier4,9864,82,11,1,0,1,7
[Fix] Link error at docker build,2019-01-09T11:42:14Z,397329762,kfunaoka,tier4,452667827,answered,"@esteve yes, I think keeping it with catkin now and aiming to move Docker also to colcon in v1.11 is best. We'll move gitlab-ci also in the next iteration",sgermanserrano,missing,9864,82,11,1,0,1,7
[Fix] Link error at docker build,2019-01-09T11:45:38Z,397329762,kfunaoka,tier4,452668703,answered,I'll submit a PR reverting the colcon changes in Docker.,esteve,tier4,9864,82,11,1,0,1,7
[Fix] Link error at docker build,2019-01-09T11:53:32Z,397329762,kfunaoka,tier4,452670680,questioned,"@esteve Since many users build from source, how about deleting deprecated message in catkin_make_release, and adding some modification into colcon_release not to be used by normal users.

I'm not sure why it worked when I tested the colcon PR. There might remain files built by catkin.",kfunaoka,tier4,9864,82,11,1,0,1,7
[Fix] Link error at docker build,2019-01-09T12:24:50Z,397329762,kfunaoka,tier4,452678789,answered,I've submitted autowarefoundation/autoware#1852 to use catkin in the Docker image,esteve,tier4,9864,82,11,1,0,1,7
[Fix] Link error at docker build,2019-01-09T12:31:12Z,397329762,kfunaoka,tier4,452680465,answered,"@kfunaoka colcon works perfectly.
I think there is no need to remove the deprecation message. It is in fact going to be removed in 1.11, and a good chance to warn users.",amc-nu,tier4,9864,82,11,1,0,1,7
[Fix] Link error at docker build,2019-01-09T12:36:27Z,397329762,kfunaoka,tier4,452681831,questioned,"@amc-nu Got it, I agree! How can we protect users who use colcon_release?",kfunaoka,tier4,9864,82,11,1,0,1,7
[Fix] Link error at docker build,2019-01-09T12:38:54Z,397329762,kfunaoka,tier4,452682472,questioned,colcon_release and run are not compatible at least now.,kfunaoka,tier4,9864,82,11,1,0,1,7
[Fix] Link error at docker build,2019-01-09T12:39:27Z,397329762,kfunaoka,tier4,452682585,answered,"Currently the message is only shown for 2 seconds then it works as usual. I think there is no need to do something else.
If you’re concerned you can add a note in the release and the wiki",amc-nu,tier4,9864,82,11,1,0,1,7
[Fix] Link error at docker build,2019-01-09T12:58:25Z,397329762,kfunaoka,tier4,452687603,questioned,Nice! Let's list the issue in Known Bug in the release note.,kfunaoka,tier4,9864,82,11,1,0,1,7
Updated License notice,2019-01-09T11:00:40Z,397305621,sgermanserrano,missing,452657192,answered,@kfunaoka @sgermanserrano should this go into the v1.10 branch instead of develop?,esteve,tier4,7886,1917,3,1,0,4,118
Updated License notice,2019-01-09T11:02:02Z,397305621,sgermanserrano,missing,452657573,questioned,@esteve #1645 PR is for v1.11 so it is not yet in _develop_,sgermanserrano,missing,7886,1917,3,1,0,4,118
Updated License notice,2019-01-09T12:33:28Z,397305621,sgermanserrano,missing,452681086,answered,@sgermanserrano thanks for spotting this before merging,amc-nu,tier4,7886,1917,3,1,0,4,118
Feature/vehicle description,2019-01-09T09:38:35Z,397228550,hakuturu583,tier4,452632459,answered,It looks nice,yukkysaito,tier4,22433,11582,1,6,0,47,8609
Remove obsolete obj_reproj,2019-01-08T16:49:57Z,396958891,esteve,tier4,452369828,answered,"lidar_kf_contour_track is very important for OpenPlanner. 
it follows the same object tracking node interface. same as (lidar_imm_ukf) with similar performance according to kitti evaluation
",hatem-darweesh,Nagoya University,235211,4657,3,1,0,10,1036
Remove obsolete obj_reproj,2019-01-08T22:38:24Z,396958891,esteve,tier4,452477553,answered,@hatem-darweesh Should the discussion go to the issue autowarefoundation/autoware#1842 for lidar kf contour track?,kfunaoka,tier4,235211,4657,3,1,0,10,1036
Remove obsolete obj_reproj,2019-01-11T08:52:35Z,396958891,esteve,tier4,453435875,answered,Also requires autowarefoundation/autoware_ai#498,amc-nu,tier4,235211,4657,3,1,0,10,1036
Remove obsolete obj_fusion,2019-01-11T08:51:39Z,396958018,esteve,tier4,453435527,answered,Also requires autowarefoundation/autoware_ai#498,amc-nu,tier4,235280,235283,1,1,0,6,691
Fix/remove obsolete lidar svm detect,2019-01-11T08:51:11Z,396956776,esteve,tier4,453435370,answered,Also requires autowarefoundation/autoware_ai#498 ,amc-nu,tier4,235414,235422,1,1,0,6,401
Remove obsolete lidar_kf_track,2019-01-11T08:50:31Z,396955720,esteve,tier4,453435159,answered,Also requires autowarefoundation/autoware_ai#498,amc-nu,tier4,235534,235523,1,1,0,12,1915
Fix/remove obsolete lidar kf contour track,2019-01-08T22:46:11Z,396954491,esteve,tier4,452479532,answered,"https://github.com/CPFL/Autoware/pull/1846#issuecomment-452369828

> lidar_kf_contour_track is very important for OpenPlanner.
it follows the same object tracking node interface. same as (lidar_imm_ukf) with similar performance according to kitti evaluation

@hatem-darweesh Would you explain why lidar_kf_contour_track is important for OpenPlanner? In my understanding, OpenPlanner is independent from tracking algorithms, and can use other tracking algorithms.

@cirpue49 Do lidar_kf_contour_track and lidar_imm_ukf show similar tracking performance?",kfunaoka,tier4,162340,26620,6,1,0,13,2784
Fix/remove obsolete lidar kf contour track,2019-01-09T04:12:00Z,396954491,esteve,tier4,452565832,answered,"@kfunaoka it is different approach to track detected objects, 
- I evaluated this tracking node using KITTI , and I got close results as imm_ukf. 

- Two important features that I added to this node: 
1. It supports the simulated (Ego, Other) vehicles I can track with specific ID's 
2. I can do frame by frame debugging in simulation mode

Sorry I didn't saw the nodes list earlier ! ",hatem-darweesh,Nagoya University,162340,26620,6,1,0,13,2784
Fix/remove obsolete lidar kf contour track,2019-01-09T10:32:11Z,396954491,esteve,tier4,452649001,answered,"@hatem-darweesh It seems we can brush up the design between OpenPlanner and Tracking not to locked in lidar_kf_contour_track. Adding the two features into every tracking algorithms might reduce the maintainability. For now, let's keep as-is regarding lidar_kf_contour_track until the design is brushed up :)",kfunaoka,tier4,162340,26620,6,1,0,13,2784
Fix/remove obsolete lidar kf contour track,2019-01-09T15:08:46Z,396954491,esteve,tier4,452729727,questioned,"@hatem-darweesh sorry about that, I took a look at the packages that depend on `jsk_recognition_msgs` (because that's one of the dependencies that prevent us to migrate to ROS Melodic) and are declared as obsolete. Should any of the other lidar_* packages be removed?",esteve,tier4,162340,26620,6,1,0,13,2784
Fix/remove obsolete lidar kf contour track,2019-01-10T12:27:01Z,396954491,esteve,tier4,453078846,answered,"@esteve don't know about other lidar_* nodes, 
will lidar_kf_contour_track be a problem to leave? ",hatem-darweesh,Nagoya University,162340,26620,6,1,0,13,2784
Fix/remove obsolete lidar kf contour track,2019-01-10T12:28:11Z,396954491,esteve,tier4,453079159,questioned,"@hatem-darweesh no problem at all keeping it :-) Thanks for checking, I'm closing this PR.",esteve,tier4,162340,26620,6,1,0,13,2784
Remove obsolete lidar_euclidean_track,2019-01-11T08:50:10Z,396953012,esteve,tier4,453435026,answered,Also requires autowarefoundation/autoware_ai#498,amc-nu,tier4,235848,235852,1,1,0,6,427
JSK messages not needed.,2019-01-08T13:43:05Z,396912278,esteve,tier4,,,,,missing,,,0,1,0,1,2
Remove jsk msgs,2019-01-08T13:39:59Z,396911121,esteve,tier4,,,,,missing,,,0,2,0,1,2
"Revert ""Use colcon as the build tool""",2019-01-08T11:37:33Z,396788495,esteve,tier4,452268637,questioned,Thanks @amc-nu again for finding and fixing the bugs that were introduced in #1704,esteve,tier4,13082,13113,1,1,0,119,1062
"[fix] SSD detector, cmake colcon",2019-01-08T11:14:10Z,396750552,amc-nu,tier4,452262564,questioned,"I was able to compile with colcon, catkin, catkin_isolated and industrial_ci.
Thanks for your feedback @esteve @sgermanserrano 

I think we can close autowarefoundation/autoware#1838 , unless your best opinion",amc-nu,tier4,28366,22692,2,5,0,11,88
"[fix] SSD detector, cmake colcon",2019-01-08T11:36:53Z,396750552,amc-nu,tier4,452268446,answered,"@amc-nu I'll close autowarefoundation/autoware#1838 , thanks for fixing the bugs! We'll have colcon in Autoware 1.10 :-)",esteve,tier4,28366,22692,2,5,0,11,88
Feature/use package format 2,2019-01-07T16:47:49Z,396560219,esteve,tier4,451999872,questioned,CI https://gitlab.com/esteve/Autoware/pipelines/42438134,esteve,tier4,43858119,550,2,1,0,134,1896
Feature/use package format 2,2019-03-18T05:27:28Z,396560219,esteve,tier4,473774603,answered,@esteve Can we close this and do each package as we reorganise the repository/packages?,gbiggs,missing,43858119,550,2,1,0,134,1896
